magic 1337
numJobs 10
numMachines 10

job {
	numOperations 5
	11 15 13 13 15 4 1 3 13 6 
	2 13 5 4 3 1 3 9 1 14 
	7 15 15 1 13 7 2 8 7 12 
	12 4 10 12 5 14 9 7 11 7 
	7 13 1 4 14 2 1 8 3 4 
}
job {
	numOperations 5
	15 6 9 5 13 11 3 4 7 6 
	4 7 4 8 7 15 15 1 9 10 
	12 15 7 2 14 2 9 8 6 14 
	5 1 11 8 4 15 2 2 10 10 
	12 2 6 5 1 13 13 9 6 8 
}
job {
	numOperations 5
	4 8 12 11 1 10 14 4 10 13 
	11 11 14 9 4 4 2 5 11 15 
	7 14 13 5 4 4 3 9 8 11 
	6 15 11 14 4 6 7 4 4 9 
	15 3 1 1 11 3 15 15 5 5 
}
job {
	numOperations 5
	2 2 3 15 11 7 7 8 6 9 
	6 6 3 5 5 14 15 6 9 13 
	7 7 13 12 7 8 6 14 6 13 
	6 12 2 4 11 15 11 11 12 13 
	4 10 6 14 5 1 6 3 3 2 
}
job {
	numOperations 5
	6 4 12 2 4 13 8 7 9 14 
	14 12 10 6 10 7 15 15 4 9 
	14 8 8 4 9 13 8 5 14 3 
	7 2 4 11 9 2 1 14 8 12 
	11 11 3 14 12 3 14 11 8 8 
}
job {
	numOperations 5
	5 11 7 3 4 15 5 7 11 7 
	4 11 12 9 5 2 11 12 10 1 
	11 6 5 10 10 12 8 7 7 10 
	5 8 15 6 2 3 11 6 4 12 
	14 7 7 3 15 7 9 9 15 4 
}
job {
	numOperations 5
	7 10 11 1 2 11 4 1 8 8 
	12 4 9 6 7 11 8 8 13 7 
	14 2 7 11 13 12 3 15 7 6 
	2 3 7 10 15 12 4 15 10 10 
	8 10 12 7 8 5 9 2 3 8 
}
job {
	numOperations 5
	13 15 11 9 1 8 11 14 8 2 
	11 4 11 5 3 13 7 1 2 14 
	14 7 2 2 1 13 12 15 10 15 
	12 8 1 6 5 15 3 10 6 15 
	5 14 7 7 7 3 6 11 7 15 
}
job {
	numOperations 5
	5 10 1 7 14 7 13 5 11 14 
	10 13 15 13 5 1 12 8 14 2 
	6 11 6 9 8 6 14 1 9 5 
	6 1 15 6 7 12 14 13 15 5 
	13 11 7 7 10 12 10 2 7 7 
}
job {
	numOperations 5
	2 11 3 15 15 3 10 8 6 5 
	3 12 10 4 11 3 7 3 1 13 
	4 15 4 5 7 10 1 13 10 2 
	15 9 7 1 14 4 12 12 12 3 
	8 11 11 15 10 12 3 9 6 7 
}
