magic 1337
numJobs 20
numMachines 10

job {
	numOperations 3
	15 6 5 12 11 13 12 9 9 8 
	18 9 20 21 14 5 23 6 9 13 
	19 20 23 19 21 5 8 8 8 15 
}
job {
	numOperations 5
	18 9 14 11 14 17 9 15 12 9 
	11 13 22 22 20 5 22 10 20 16 
	14 17 23 15 5 15 17 12 16 15 
	21 7 11 15 12 23 7 12 18 23 
	14 7 21 20 21 16 23 20 8 23 
}
job {
	numOperations 7
	6 15 21 8 17 12 22 12 23 11 
	17 7 8 12 13 17 15 18 5 9 
	23 21 7 20 14 7 15 20 11 16 
	22 14 12 21 5 6 7 8 20 18 
	18 19 5 8 22 19 21 5 21 23 
	10 10 13 10 14 5 15 9 8 17 
	13 13 18 9 13 10 14 9 7 15 
}
job {
	numOperations 3
	23 20 14 9 6 20 5 23 23 19 
	11 12 13 17 14 14 17 17 6 7 
	15 7 17 21 19 22 11 12 9 19 
}
job {
	numOperations 5
	20 7 20 9 14 17 14 11 19 20 
	8 18 9 7 16 19 22 22 10 15 
	6 18 16 19 5 23 18 18 6 20 
	19 17 7 20 6 20 17 7 5 10 
	20 11 7 23 10 5 15 22 5 5 
}
job {
	numOperations 8
	23 6 16 20 7 6 20 14 11 20 
	21 5 10 20 7 14 14 11 17 6 
	21 7 23 16 18 23 9 13 19 9 
	10 11 8 17 22 13 11 14 7 15 
	14 23 12 9 17 16 15 9 5 5 
	18 20 12 11 20 13 22 16 6 9 
	6 11 10 10 8 10 21 18 17 11 
	22 23 15 18 18 11 12 8 15 12 
}
job {
	numOperations 9
	12 6 23 20 8 10 9 19 19 23 
	5 15 11 22 16 23 19 18 23 10 
	12 23 7 8 20 18 8 8 9 13 
	16 8 10 14 19 9 13 20 13 10 
	16 16 14 15 8 19 8 5 7 21 
	13 13 17 10 13 13 19 7 12 12 
	10 15 19 22 14 7 18 14 10 17 
	9 20 5 6 19 14 22 14 23 13 
	16 22 19 14 16 22 15 22 20 21 
}
job {
	numOperations 3
	9 20 6 6 16 6 12 16 10 5 
	16 22 10 8 17 21 10 5 19 13 
	14 18 20 22 23 20 16 11 14 23 
}
job {
	numOperations 5
	6 12 10 10 12 9 14 16 12 6 
	14 8 11 17 7 13 12 11 9 9 
	23 20 20 20 21 12 11 22 11 16 
	5 6 13 18 7 22 9 19 9 17 
	23 20 17 11 22 16 8 15 5 18 
}
job {
	numOperations 6
	18 11 11 23 13 6 23 21 10 10 
	5 10 12 9 12 13 21 7 12 17 
	21 20 13 16 13 21 6 20 12 10 
	16 9 15 13 7 9 7 8 17 14 
	21 16 23 22 19 8 12 7 19 21 
	12 12 17 11 12 14 16 17 5 13 
}
job {
	numOperations 3
	21 6 21 14 7 14 9 18 12 5 
	12 6 10 14 12 15 19 11 14 20 
	11 7 5 17 12 13 6 8 13 10 
}
job {
	numOperations 2
	6 16 9 11 12 21 12 20 18 14 
	19 23 18 22 19 12 9 19 21 18 
}
job {
	numOperations 3
	12 13 22 11 7 18 15 8 7 21 
	5 6 17 11 6 23 15 17 21 8 
	20 7 14 13 18 9 22 7 13 9 
}
job {
	numOperations 5
	15 7 10 13 12 21 5 13 6 12 
	16 10 16 17 15 23 11 23 5 6 
	6 13 16 17 21 11 15 6 19 13 
	8 20 10 12 19 15 18 22 9 11 
	8 16 9 18 10 7 9 19 12 14 
}
job {
	numOperations 6
	9 12 17 14 6 20 7 23 20 13 
	5 17 21 16 12 7 13 12 10 7 
	12 11 22 14 21 7 13 11 21 21 
	12 14 6 16 5 17 12 22 14 7 
	12 17 20 19 5 7 12 10 12 21 
	13 16 13 14 8 16 9 19 14 21 
}
job {
	numOperations 8
	10 13 18 9 10 6 14 14 11 6 
	9 16 16 20 8 22 9 8 11 7 
	13 21 12 20 12 6 9 19 8 19 
	5 13 15 13 13 22 8 21 8 21 
	10 14 22 8 11 18 13 10 18 13 
	23 20 17 9 21 22 6 16 8 10 
	8 5 20 14 8 5 22 9 6 6 
	17 17 13 20 17 15 14 23 11 15 
}
job {
	numOperations 10
	16 13 9 11 9 18 10 13 22 17 
	16 19 20 19 21 9 16 5 16 17 
	9 23 20 23 21 8 6 14 16 9 
	15 13 20 22 13 19 22 17 7 22 
	21 23 22 15 20 13 20 13 6 17 
	7 10 18 17 22 8 7 6 7 23 
	19 19 11 13 23 17 19 14 20 15 
	13 11 15 5 8 11 11 21 9 17 
	20 5 16 22 15 7 21 5 19 6 
	17 5 20 19 16 7 17 5 22 17 
}
job {
	numOperations 7
	16 6 14 18 16 22 23 9 16 21 
	23 13 14 7 12 17 20 21 15 14 
	19 22 5 11 12 6 12 15 19 11 
	18 9 16 17 22 18 8 6 18 21 
	5 12 22 18 22 17 10 5 5 16 
	8 23 5 9 21 12 7 21 5 6 
	13 14 18 16 5 22 8 15 8 16 
}
job {
	numOperations 5
	11 15 18 5 14 21 22 11 13 10 
	17 13 21 5 10 6 13 9 17 7 
	18 15 21 18 6 15 10 14 16 9 
	14 9 19 7 19 17 15 14 6 14 
	11 16 19 14 10 7 5 10 16 23 
}
job {
	numOperations 4
	19 12 17 19 10 19 14 20 12 19 
	20 22 23 15 18 16 18 13 17 11 
	10 10 21 12 12 19 18 7 8 11 
	20 5 21 9 7 6 18 14 13 13 
}
