magic 1337
numJobs 10
numMachines 10

job {
	numOperations 3
	1 1 1 1 1 1 1 1 1 1 1
	2 2 2 2 2 2 2 2 2 2 2
	4 4 4 4 4 4 4 4 4 4 4
}

job {
	numOperations 3
	1 1 1 1 1 1 1 1 1 1 1
	2 2 2 2 2 2 2 2 2 2 2
	4 4 4 4 4 4 4 4 4 4 4
}

job {
	numOperations 3
	1 1 1 1 1 1 1 1 1 1 1
	2 2 2 2 2 2 2 2 2 2 2
	4 4 4 4 4 4 4 4 4 4 4
}

job {
	numOperations 3
	1 1 1 1 1 1 1 1 1 1 1
	2 2 2 2 2 2 2 2 2 2 2
	4 4 4 4 4 4 4 4 4 4 4
}

job {
	numOperations 3
	1 1 1 1 1 1 1 1 1 1 1
	2 2 2 2 2 2 2 2 2 2 2
	4 4 4 4 4 4 4 4 4 4 4
}

job {
	numOperations 3
	1 1 1 1 1 1 1 1 1 1 1
	2 2 2 2 2 2 2 2 2 2 2
	4 4 4 4 4 4 4 4 4 4 4
}

job {
	numOperations 3
	1 1 1 1 1 1 1 1 1 1 1
	2 2 2 2 2 2 2 2 2 2 2
	4 4 4 4 4 4 4 4 4 4 4
}

job {
	numOperations 3
	1 1 1 1 1 1 1 1 1 1 1
	2 2 2 2 2 2 2 2 2 2 2
	4 4 4 4 4 4 4 4 4 4 4
}

job {
	numOperations 3
	1 1 1 1 1 1 1 1 1 1 1
	2 2 2 2 2 2 2 2 2 2 2
	4 4 4 4 4 4 4 4 4 4 4
}

job {
	numOperations 3
	1 1 1 1 1 1 1 1 1 1 1
	2 2 2 2 2 2 2 2 2 2 2
	4 4 4 4 4 4 4 4 4 4 4
}
